SITC06/TIME;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Total - all products;376.849;383.861;385.020;353.078;378.293;417.359;487.951;465.715;447.228;372.581;445.291;487.905;541.112;496.977;519.733;564.190
Food, drinks and tobacco;27.980;29.374;30.050;29.922;31.947;33.922;36.076;38.231;38.214;35.961;39.115;41.627;45.552;46.210;48.110;53.565
Raw materials;11.006;11.205;10.338;9.700;10.213;10.774;12.467;14.723;14.378;9.100;12.563;14.229;13.821;13.766;14.184;14.372
Mineral fuels, lubricants and related materials;15.711;16.266;15.139;16.083;23.814;34.205;43.184;42.927;55.763;35.494;47.664;66.881;77.435;69.605;60.614;45.756
Chemicals and related products, n.e.s.;34.739;37.236;39.125;38.727;42.260;43.939;47.768;51.969;48.585;45.257;52.733;57.347;62.119;57.523;62.784;69.329
Other manufactured goods;103.811;106.343;105.475;98.744;106.979;111.538;121.143;126.855;114.927;96.851;113.673;122.177;128.422;124.796;127.561;141.937
Machinery and transport equipment;166.308;161.588;155.592;142.909;151.518;157.698;175.747;170.841;149.585;119.717;152.483;150.793;163.953;167.474;183.895;213.689
Commodities and transactions not classified elsewhere in the SITC;17.294;21.850;29.301;16.992;11.563;25.283;51.566;20.169;25.777;30.202;27.062;34.851;49.810;17.603;22.585;25.541
